product_id,name,brand,mrp,selling_price,inventory,unit,category,ingestion_time
1103,Cocktail Mixers,,,,,,,2026-02-11 23:46:05.735486
1600,Soda,,,,,,,2026-02-11 23:46:05.736490
4230,Tonic & Ale,,,,,,,2026-02-11 23:46:05.736490
2360,Imported Beverages,,,,,,,2026-02-11 23:46:05.736490
15,Instant & Frozen Food,,,,,,,2026-02-11 23:46:05.736490
962,Noodles,,,,,,,2026-02-11 23:46:05.736490
41,Instant Noodles,,,,,,,2026-02-11 23:46:05.736490
1138,Hakka Noodles,,,,,,,2026-02-11 23:46:05.736490
1139,Cup Noodles,,,,,,,2026-02-11 23:46:05.736490
1413,Frozen Veg Snacks,,,,,,,2026-02-11 23:46:05.736490
122,Frozen Potato Snacks,,,,,,,2026-02-11 23:46:05.736490
125,Vegetable Frozen Snacks,,,,,,,2026-02-11 23:46:05.736490
116,Frozen Veg Indian Breads,,,,,,,2026-02-11 23:46:05.736490
1412,Frozen Non-Veg Snacks,,,,,,,2026-02-11 23:46:05.736490
1449,Frozen Chicken Snacks,,,,,,,2026-02-11 23:46:05.736490
94,Frozen Seafood Snacks,,,,,,,2026-02-11 23:46:05.736490
514,Frozen Exotic Meat Snacks,,,,,,,2026-02-11 23:46:05.736490
86,Frozen Mutton Snacks,,,,,,,2026-02-11 23:46:05.736490
968,Pasta & More,,,,,,,2026-02-11 23:46:05.736490
963,Instant Pasta,,,,,,,2026-02-11 23:46:05.736490
1753,Pasta,,,,,,,2026-02-11 23:46:05.736490
965,Instant Mixes,,,,,,,2026-02-11 23:46:05.736490
1142,Breakfast & Instant Mixes,,,,,,,2026-02-11 23:46:05.736490
3464,Cake Mix,,,,,,,2026-02-11 23:46:05.736490
1752,Dessert Mixes,,,,,,,2026-02-11 23:46:05.736490
1770,Drink Mixes,,,,,,,2026-02-11 23:46:05.736490
3465,Pancake Mix,,,,,,,2026-02-11 23:46:05.736490
966,Spice Mixes,,,,,,,2026-02-11 23:46:05.736490
964,Soup,,,,,,,2026-02-11 23:46:05.736490
1294,Ready to Cook & Eat,,,,,,,2026-02-11 23:46:05.736490
40,Canned Food,,,,,,,2026-02-11 23:46:05.736490
1182,Heat & Eat,,,,,,,2026-02-11 23:46:05.736490
679,Ready to Cook,,,,,,,2026-02-11 23:46:05.737488
970,Dessert & Cake Mixes,,,,,,,2026-02-11 23:46:05.737488
1968,Herbs & Seasoning,,,,,,,2026-02-11 23:46:05.737488
1127,Plant Based Meat,,,,,,,2026-02-11 23:46:05.737488
2361,Imported Noodles & Pasta,,,,,,,2026-02-11 23:46:05.737488
12,"Tea, Coffee & Milk Drinks",,,,,,,2026-02-11 23:46:05.737488
957,Tea,,,,,,,2026-02-11 23:46:05.737488
25,Leaf & Dust Tea,,,,,,,2026-02-11 23:46:05.737488
1561,Black Tea,,,,,,,2026-02-11 23:46:05.737488
2479,Tea Premix,,,,,,,2026-02-11 23:46:05.737488
1322,Coffee,,,,,,,2026-02-11 23:46:05.737488
958,Instant Coffee,,,,,,,2026-02-11 23:46:05.737488
1589,Filter Coffee,,,,,,,2026-02-11 23:46:05.737488
720,Roasted & Ground Coffee,,,,,,,2026-02-11 23:46:05.737488
1105,Coffee Bags,,,,,,,2026-02-11 23:46:05.737488
960,Milk Drinks,,,,,,,2026-02-11 23:46:05.737488
1106,Chocolate Health Drinks,,,,,,,2026-02-11 23:46:05.737488
21,Health Drinks & Supplements,,,,,,,2026-02-11 23:46:05.737488
2186,Adult Milk Drinks,,,,,,,2026-02-11 23:46:05.737488
1605,Green & Flavoured Tea,,,,,,,2026-02-11 23:46:05.737488
1562,Exotic & Flavoured Tea,,,,,,,2026-02-11 23:46:05.737488
1104,Green Tea,,,,,,,2026-02-11 23:46:05.737488
90,Hot Chocolate,,,,,,,2026-02-11 23:46:05.737488
1495,Tea & Coffee Add-Ons,,,,,,,2026-02-11 23:46:05.738494
2463,Lactose Free Drink,,,,,,,2026-02-11 23:46:05.738494
2466,Almond Beverage,,,,,,,2026-02-11 23:46:05.738494
2465,Coconut Milk,,,,,,,2026-02-11 23:46:05.738494
2467,Oat Beverage,,,,,,,2026-02-11 23:46:05.738494
2464,Soy Beverage,,,,,,,2026-02-11 23:46:05.738494
2363,Imported Tea & Coffee,,,,,,,2026-02-11 23:46:05.738494
888,Bakery & Biscuits,,,,,,,2026-02-11 23:46:05.738494
2380,Biscuit Gift Pack,,,,,,,2026-02-11 23:46:05.738494
28,Cookies,,,,,,,2026-02-11 23:46:05.738494
3918,Bakery Cookies,,,,,,,2026-02-11 23:46:05.738494
3917,Packaged Cookies,,,,,,,2026-02-11 23:46:05.738494
105,Cream Biscuits,,,,,,,2026-02-11 23:46:05.738494
