product_id,name,brand,mrp,selling_price,inventory,unit,category,ingestion_time
1104,Green Tea,,,,,,,2026-03-07 22:55:55.733857
90,Hot Chocolate,,,,,,,2026-03-07 22:55:55.734842
1495,Tea & Coffee Add-Ons,,,,,,,2026-03-07 22:55:55.734842
2463,Lactose Free Drink,,,,,,,2026-03-07 22:55:55.734842
2466,Almond Beverage,,,,,,,2026-03-07 22:55:55.734842
2465,Coconut Milk,,,,,,,2026-03-07 22:55:55.734842
2467,Oat Beverage,,,,,,,2026-03-07 22:55:55.734842
2464,Soy Beverage,,,,,,,2026-03-07 22:55:55.734842
2363,Imported Tea & Coffee,,,,,,,2026-03-07 22:55:55.734842
888,Bakery & Biscuits,,,,,,,2026-03-07 22:55:55.734842
2380,Biscuit Gift Pack,,,,,,,2026-03-07 22:55:55.734842
28,Cookies,,,,,,,2026-03-07 22:55:55.734842
3918,Bakery Cookies,,,,,,,2026-03-07 22:55:55.734842
3917,Packaged Cookies,,,,,,,2026-03-07 22:55:55.734842
105,Cream Biscuits,,,,,,,2026-03-07 22:55:55.734842
209,Glucose & Marie,,,,,,,2026-03-07 22:55:55.734842
7709,Glucose Biscuit,,,,,,,2026-03-07 22:55:55.734842
7710,Marie Biscuit,,,,,,,2026-03-07 22:55:55.734842
938,Healthy & Digestive,,,,,,,2026-03-07 22:55:55.734842
108,Cakes & Rolls,,,,,,,2026-03-07 22:55:55.734842
8344,Bakery Confectionary,,,,,,,2026-03-07 22:55:55.734842
7957,Croissant & Rolls,,,,,,,2026-03-07 22:55:55.734842
7959,Pound Cake,,,,,,,2026-03-07 22:55:55.734842
7958,Slice Cake,,,,,,,2026-03-07 22:55:55.734842
971,Baking Ingredients,,,,,,,2026-03-07 22:55:55.734842
144,Sweet & Salty,,,,,,,2026-03-07 22:55:55.734842
1959,Gourmet Bakery,,,,,,,2026-03-07 22:55:55.734842
9,Sweet Tooth,,,,,,,2026-03-07 22:55:55.734842
943,Indian Sweets,,,,,,,2026-03-07 22:55:55.734842
2379,Chocolate Gift Pack,,,,,,,2026-03-07 22:55:55.736362
183,Ice Cream & Frozen Dessert,,,,,,,2026-03-07 22:55:55.736362
20,Cups,,,,,,,2026-03-07 22:55:55.736362
9220,Cakes & Others,,,,,,,2026-03-07 22:55:55.736362
1035,Cones,,,,,,,2026-03-07 22:55:55.736362
1448,Sandwich & Cassata,,,,,,,2026-03-07 22:55:55.736362
914,Stick,,,,,,,2026-03-07 22:55:55.736362
1961,Tubs,,,,,,,2026-03-07 22:55:55.736362
1173,Chocolate Packs,,,,,,,2026-03-07 22:55:55.736362
944,Chocolates,,,,,,,2026-03-07 22:55:55.736362
1736,Chocolate Bars,,,,,,,2026-03-07 22:55:55.736362
1737,Filled Bars,,,,,,,2026-03-07 22:55:55.736362
1172,Wafer Chocolates,,,,,,,2026-03-07 22:55:55.736362
5432,Shaped Chocolates,,,,,,,2026-03-07 22:55:55.736362
1930,Candies & Gum,,,,,,,2026-03-07 22:55:55.736362
1931,Candies,,,,,,,2026-03-07 22:55:55.736362
1932,Chewing Gum,,,,,,,2026-03-07 22:55:55.736362
1289,Syrups,,,,,,,2026-03-07 22:55:55.736362
1933,Mouth Fresheners,,,,,,,2026-03-07 22:55:55.736362
106,Flavoured Yogurts,,,,,,,2026-03-07 22:55:55.736362
16,"Atta, Rice & Dal",,,,,,,2026-03-07 22:55:55.736362
1165,Atta,,,,,,,2026-03-07 22:55:55.736362
4130,Atta Assortment,,,,,,,2026-03-07 22:55:55.736362
4129,Multigrain Atta,,,,,,,2026-03-07 22:55:55.736362
7879,Organic Atta,,,,,,,2026-03-07 22:55:55.736362
4128,Sharbati Atta,,,,,,,2026-03-07 22:55:55.737384
1161,Rice,,,,,,,2026-03-07 22:55:55.737384
1164,Basmati,,,,,,,2026-03-07 22:55:55.737384
1192,Sonamasuri & Kolam,,,,,,,2026-03-07 22:55:55.737384
68,Rice Assortment,,,,,,,2026-03-07 22:55:55.737384
760,Local Rice,,,,,,,2026-03-07 22:55:55.737384
7887,Organic Rice & Rice Products,,,,,,,2026-03-07 22:55:55.737384
1010,"Toor, Urad & Chana",,,,,,,2026-03-07 22:55:55.737384
1195,Arhar,,,,,,,2026-03-07 22:55:55.737384
1197,Urad,,,,,,,2026-03-07 22:55:55.737384
1702,Chana,,,,,,,2026-03-07 22:55:55.737384
7884,"Organic Toor, Urad & Chana",,,,,,,2026-03-07 22:55:55.737384
1166,"Besan, Sooji & Maida",,,,,,,2026-03-07 22:55:55.737384
1193,Besan,,,,,,,2026-03-07 22:55:55.737384
1483,Maida,,,,,,,2026-03-07 22:55:55.737384
7880,"Organic Besan, Sooji & Maida",,,,,,,2026-03-07 22:55:55.737384
1194,Sooji,,,,,,,2026-03-07 22:55:55.737384
48,Millet & Other Flours,,,,,,,2026-03-07 22:55:55.737384
1573,"Rajma, Chhole & Others",,,,,,,2026-03-07 22:55:55.737384
1198,Rajma,,,,,,,2026-03-07 22:55:55.737384
1297,Soya,,,,,,,2026-03-07 22:55:55.737384
1009,Dried Peas & Others,,,,,,,2026-03-07 22:55:55.737384
8,Kabuli Chana,,,,,,,2026-03-07 22:55:55.737384
7885,"Organic Rajma, Chhole & Others",,,,,,,2026-03-07 22:55:55.737384
505,Moong & Masoor,,,,,,,2026-03-07 22:55:55.737384
1196,Moong,,,,,,,2026-03-07 22:55:55.737384
1296,Masoor,,,,,,,2026-03-07 22:55:55.738383
7886,Organic Moong & Masoor,,,,,,,2026-03-07 22:55:55.738383
1557,"Dry Fruits, Masala & Oil",,,,,,,2026-03-07 22:55:55.738383
917,Oil,,,,,,,2026-03-07 22:55:55.738383
1155,Health Oil,,,,,,,2026-03-07 22:55:55.738383
1153,Mustard Oil,,,,,,,2026-03-07 22:55:55.738383
1157,Sunflower Oil,,,,,,,2026-03-07 22:55:55.738383
1156,Soyabean Oil,,,,,,,2026-03-07 22:55:55.738383
1154,Olive Oil,,,,,,,2026-03-07 22:55:55.738383
1360,Sesame/Til Oil,,,,,,,2026-03-07 22:55:55.738383
46,Groundnut Oil,,,,,,,2026-03-07 22:55:55.738383
9385,Coconut Oil,,,,,,,2026-03-07 22:55:55.738383
7882,Organic Oil,,,,,,,2026-03-07 22:55:55.738383
1596,Rice Bran Oil,,,,,,,2026-03-07 22:55:55.738383
1160,Dry Fruits,,,,,,,2026-03-07 22:55:55.738383
1162,Cashews,,,,,,,2026-03-07 22:55:55.738383
45,Dry Fruit Assortment,,,,,,,2026-03-07 22:55:55.738383
8579,Almonds,,,,,,,2026-03-07 22:55:55.738383
3035,Flavoured Dry Fruits,,,,,,,2026-03-07 22:55:55.738383
7846,Organic Dry Fruits,,,,,,,2026-03-07 22:55:55.738383
1158,Ghee & Vanaspati,,,,,,,2026-03-07 22:55:55.738383
69,Desi Ghee,,,,,,,2026-03-07 22:55:55.738383
1159,Vanaspati,,,,,,,2026-03-07 22:55:55.738383
3037,Cow Ghee,,,,,,,2026-03-07 22:55:55.738383
7881,Organic Ghee,,,,,,,2026-03-07 22:55:55.738383
